Intensity,CH0,CH1,Lux,Temperature
10,1504.38,789.08,1387.68,26.75
11,1658.23,868.31,1535.27,26.67
12,1810.23,948.69,1672.92,26.6
13,1960.92,1027.38,1813.28,26.55
14,2112.31,1104.85,1960.47,26.5
15,2262.23,1182.54,2102.44,26.43
16,2409.38,1261.23,2232.31,26.39
17,2556.38,1339.31,2364.12,26.34
18,2708.77,1417.54,2511.29,26.3
19,2864.54,1498.54,2657.71,26.25
20,3010.85,1575.69,2791.06,26.22
21,3160.92,1655.31,2926,26.2
22,3309,1731.92,3066.69,26.17
23,3464.23,1814.08,3207.03,26.14
24,3604.46,1888.54,3332.85,26.12
25,3756.62,1967.15,3477.83,26.1
26,3909.54,2047.92,3616.72,26.07
27,4018.31,2116.38,3672.85,21.2
28,4169.46,2195.77,3811.88,21.42
29,4547.46,2374.85,4235.03,27.05
30,4551.85,2376.23,4242.65,27.09
31,4700.15,2454.85,4376.23,27.11
32,4847.46,2532.92,4508.94,27.13
33,4999.77,2614.23,4643.9,27.17
34,5156,2692.92,4800.68,27.19
35,5301.92,2769.31,4935.89,27.23
36,5455.08,2848.62,5081.15,27.29
37,5611.85,2928.62,5234.44,27.33
38,5702.69,2975.08,5322.88,27.34
39,5854.23,3054.08,5464.55,27.36
40,6003.23,3131.15,5606.18,27.38
41,6156,3209.85,5752.71,27.38
42,6302.38,3289.46,5876.67,27.39
43,6457.08,3367.38,6031.91,27.39
44,6606.08,3444.69,6172.64,27.39
45,6756.31,3522.62,6314.63,27.4
46,6907.08,3599.62,6461.83,27.41
47,7054.23,3676.85,6597.38,27.4
48,7211.31,3758.69,6744.39,27.41
49,7361.31,3836.31,6886.9,27.4
50,7510.38,3914.69,7023.65,27.41
51,7661.54,3992.85,7167.48,27.39
52,7807.23,4067.54,7308.61,27.39
53,7954.77,4145.23,7443.5,27.38
54,8102.23,4221.54,7583.58,27.36
55,8252.85,4299.92,7724.9,27.34
56,8408.85,4379.08,7879.24,27.33
57,8555.31,4456.92,8010.32,27.31
58,8702.92,4534.08,8147.55,27.29
59,8846.54,4607.92,8285.81,27.26
60,8995.92,4683.69,8433.71,27.22
61,9148,4762.38,8578.18,27.19
62,9298.23,4839.69,8722.58,27.16
63,9407.08,4896.85,8822.73,27.1
64,9557.31,4975.69,8961.11,27.05
65,9702,5050.62,9098.37,26.99
66,9856.15,5130.38,9244.81,26.92
67,10005.85,5208.46,9384.59,26.85
68,10160.46,5287.62,9534.81,26.77
69,10304.92,5364.15,9665.06,26.69
70,10448.23,5440.92,9790.98,26.62
71,10599.08,5519.69,9931.49,26.55
72,10734.54,5593.62,10045.21,26.48
73,10890.15,5672.77,10198.4,26.41
74,11036.38,5750.92,10327.59,26.32
75,11183.15,5826.85,10467.11,26.23
76,11326.15,5901.15,10601.74,26.12
77,11469.62,5976.85,10732.33,26
78,11612.92,6052.77,10861.56,25.84
79,11755.92,6128,10992.58,25.68
80,11902.31,6203.85,11131.26,25.54
81,12040.92,6278.38,11251.96,25.4
82,12186.77,6355.92,11382.42,25.24
83,12322.62,6426.69,11509.62,25.08
84,12467.08,6503.69,11638.08,24.88
85,12607.85,6578.77,11763.08,24.71
86,12747.54,6654.54,11882.18,24.5
87,12894.15,6731.54,12017.04,24.34
88,12955.46,6758.77,12092.81,24.14
89,13099.85,6835,12224.04,23.91
90,13233,6907.15,12337.84,23.72
91,13362.08,6980.08,12436.55,23.5
92,13501.62,7054.31,12561.2,23.27
93,13626.92,7123.46,12663.44,23.02
94,13763.77,7197.31,12781.61,22.77
95,13885.69,7266.31,12874.42,22.55
96,14013.77,7338.54,12972.92,22.35
97,14140.08,7407.62,13078.45,22.15
98,14265,7478.46,13173.01,21.99
99,14393.83,7551,13272.59,21.86
100,14589.17,7667.62,13397.86,20.82
101,14790.46,7752.31,13664.57,22.05
102,14957.31,7830.15,13856.04,23.19
103,15184.38,7926.23,14155.18,23.98
104,15336.69,8003.46,14306.03,24.48
105,15606.92,8132.54,14604.74,24.69
106,15768.62,8211.62,14776.29,24.9
107,15933.62,8293.46,14946.86,25.12
108,16095.85,8373.62,15115.83,25.32
109,16244.23,8450.62,15255.94,25.62
110,16411.15,8536.23,15417.49,25.82
111,16572.85,8616.46,15584.56,25.95
112,16749,8700.62,15779.34,26.14
113,16917.54,8783.08,15958.08,26.32
114,17079.85,8864.38,16122.79,26.4
115,17230.46,8941.31,16269.85,26.6
116,17397.31,9024.08,16442.36,26.77
117,17535.54,9098.15,16563.68,27.03
118,17690.08,9176.69,16716.1,27.03
119,17849.77,9257.23,16876.04,27.2
120,18004.85,9335.38,17031.58,27.35
